Name,School,Difficulty Level,Rating,Link,About
Hybrid Cloud Fundamentals,School of Cloud Computing,Intermediate,None,https://www.udacity.com//course/hybrid-cloud-fundamentals--ud0321,Dive into the role of a hybrid cloud engineer and learn how to use Nutanix's Hyperconverged Infrastructure (HCI) software to configure the different components of a private cloud cluster.
Intro to Cloud Computing,School of Cloud Computing,Beginner,None,https://www.udacity.com//course/intro-to-cloud-computing--ud080,"This free course will equip you with the foundational skills you need to pursue a career in cloud computing. The course covers fundamental cloud computing principles and features hands-on practice using AWS, the leading cloud service provider."
Intro to Information Security,School of Programming & Development,Intermediate,None,https://www.udacity.com//course/intro-to-information-security--ud459,
Cyber-Physical Systems Security,School of Programming & Development,Intermediate,None,https://www.udacity.com//course/cyber-physical-systems-security--ud279,This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.
Network Security,School of Programming & Development,Intermediate,None,https://www.udacity.com//course/network-security--ud199,"This course provides an introduction to computer and network security. Students successfully completing this class will be able to evaluate works in academic and commercial security, and will have rudimentary skills in security research."
Creating an Analytical Dataset,School of Business,Beginner,None,https://www.udacity.com//course/creating-an-analytical-dataset--ud977,Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.
Problem Solving with AdvancedAnalytics,School of Business,Beginner,None,https://www.udacity.com//course/problem-solving-with-Advanced-analytics--ud976,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context."
Classification Models,School of Business,Intermediate,None,https://www.udacity.com//course/classification-models--ud978,Learn how to use classification predictive models to solve business problems involving non-numeric data.
Segmentation and Clustering,School of Business,Intermediate,None,https://www.udacity.com//course/segmentation-and-clustering--ud981,The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.
Time Series Forecasting,School of Business,Intermediate,None,https://www.udacity.com//course/time-series-forecasting--ud980,The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.
App Marketing,School of Business,Intermediate,None,https://www.udacity.com//course/app-marketing--ud719,"This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs."
How to Build a Startup,School of Business,Intermediate,None,https://www.udacity.com//course/how-to-build-a-startup--ep245,"Learn what it takes to build a successful startup using the Customer Development process, where entrepreneurs ""get out of the building"" to gather and iterate on feedback."
