id,Name,University,level,Link,About
3724,Create a MEAN App by Example - Full Stack Course,Udemy,intermediate,https://www.udemy.com/full-stack-course-mean-app/,Web Development
3725,The Original Complete Web Developer Course.,Udemy,beginner,https://www.udemy.com/thecompletewebdeveloper/,Web Development
3726,Angular 2 From The Ground Up,Udemy,intermediate,https://www.udemy.com/angular-2-from-the-ground-up/,Web Development
3727,Complete Web Development Course + Building 5 Websites!,Udemy,intermediate,https://www.udemy.com/creating-5-web-development-projects-in-html5-and-css3/,Web Development
3728,WP Plugin Development - Build your own plugin!,Udemy,beginner,https://www.udemy.com/wp-plugin-development-build-your-own-plugin/,Web Development
3729,Sass: From Beginner to Advanced,Udemy,intermediate,https://www.udemy.com/sass-from-beginner-to-advanced/,Web Development
3730,Build Flat Responsive Website from Scratch - Complete Course,Udemy,intermediate,https://www.udemy.com/build-flat-responsive-website-from-scratch-complete-course/,Web Development
3731,Wordpress for Beginners - Build a Live Website from Scratch,Udemy,beginner,https://www.udemy.com/wordpress_for_beginners/,Web Development
3732,"Essential JavaScript, jQuery and AngularJS Training",Udemy,intermediate,https://www.udemy.com/essential-javascript-jquery-angularjs-training/,Web Development
3733,The Pro Ruby on Rails Starter,Udemy,beginner,https://www.udemy.com/pro-rubyonrails-starter/,Web Development
3734,Unit Testing AngularJS: Build Bugfree Apps That Always Work!,Udemy,intermediate,https://www.udemy.com/unit-testing-angularjs/,Web Development
3735,WordPress Blog : Create a WordPress Website for Beginners,Udemy,beginner,https://www.udemy.com/wordpress-website-for-beginners/,Web Development
3736,Introduction to HTML5 Canvas basics of drawing,Udemy,beginner,https://www.udemy.com/introduction-to-html5-canvas-basics-of-drawing/,Web Development
3737,"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",Udemy,intermediate,https://www.udemy.com/web-development-html5-css3-php-oop-and-mysql-database/,Web Development
3738,Kids Coding - Beginners CSS,Udemy,intermediate,https://www.udemy.com/kids-coding-beginners-css/,Web Development
3739,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,Udemy,intermediate,https://www.udemy.com/learning-php-and-mysql-development-the-easy-way/,Web Development
3740,Learning Path: Magento: Master and Test Magento 2 with Ease,Udemy,advanced,https://www.udemy.com/learning-path-magento-master-and-test-magento-2-with-ease/,Web Development
3741,The Complete hapiJS Course - Go From Beginner To Advanced!,Udemy,intermediate,https://www.udemy.com/hapijs-course/,Web Development
3742,Ruby On Rails For Web Development,Udemy,beginner,https://www.udemy.com/ruby-on-rails-for-web-development/,Web Development
3743,Create eye-catching WordPress website from scratch,Udemy,beginner,https://www.udemy.com/create-eye-catching-wordpress-website-from-scratch/,Web Development
3744,Become A Web Developer And Seller - Build Websites With HTML,Udemy,beginner,https://www.udemy.com/the-ultimate-building-and-selling-websites-course/,Web Development
3745,WordPress Tips and Tricks,Udemy,intermediate,https://www.udemy.com/wordpress-tips-and-tricks/,Web Development
3746,HTML Tutorials : HTML Code for Website Creating,Udemy,intermediate,https://www.udemy.com/html-code-for-website/,Web Development
3747,Complete HTML5 and CSS3 Course +1 Start to Finish Project,Udemy,intermediate,https://www.udemy.com/complete-html5-and-css3-course-1-start-to-finish-project/,Web Development
3748,Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners,Udemy,beginner,https://www.udemy.com/web-development-with-html-css-bootstrap-jquery-for-beginners/,Web Development
3749,HTML5 Specialist: Comprehensive HTML5 Training,Udemy,intermediate,https://www.udemy.com/html5-specialist/,Web Development
3750,CSS and CSS3 For Absolute Beginners,Udemy,beginner,https://www.udemy.com/css-and-css3-for-absolute-beginners/,Web Development
3751,Build a Complete JQuery Plugin (Image Pop-up Dialog),Udemy,intermediate,https://www.udemy.com/build-a-complete-jquery-plugin-image-pop-up-dialog/,Web Development
3752,How to create HTML Forms,Udemy,beginner,https://www.udemy.com/how-to-create-html-forms/,Web Development
3753,ReactJS and Flux: Learn By Building 10 Projects,Udemy,intermediate,https://www.udemy.com/reactjs-and-flux-learn-by-building-10-projects/,Web Development
3754,How To Make A Business Website In 1 Day With Wix FAST & EASY,Udemy,beginner,https://www.udemy.com/how-i-make-a-professional-website-in-1-day-or-less-with-wix/,Web Development
3755,PHP Date and Time Course by Edwin Diaz,Udemy,intermediate,https://www.udemy.com/crash-course-learn-to-create-date-and-time-in-php-easily/,Web Development
3756,Start Your Own Forum Website in 15 Minutes ,Udemy,intermediate,https://www.udemy.com/forum-web-development/,Web Development
3757,Hit the ground running with AngularJS with Dion Yang,Udemy,intermediate,https://www.udemy.com/hit-the-ground-running-with-angularjs-with-dion-yang/,Web Development
